"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Bonner, Shaun","Ind","TE,FLX","So","72","FA","@FLInt Sat 7:00PM","0","0","10","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bortenschlager, Max","MD","QB,FLX","Jr","73","FA","Tex Sat 12:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bousky, Alex","NW","RB,WR,FLX","Sr","74","FA","@Purd Thu 8:00PM","0","0","4","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bowers, Nick","PSU","TE,FLX","Jr","75","FA","App Sat 3:30PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bowser, Isaiah","NW","RB,FLX","Fr","76","FA","@Purd Thu 8:00PM","0","0","4","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bradley, Jaylin","Neb","RB,FLX","So","77","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bridges, Weston","MSU","RB,FLX","Fr","78","FA","UtSt Fri 7:00PM","0","0","3","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brookins, Ricky","Ind","RB,FLX","Sr","79","FA","@FLInt Sat 7:00PM","0","0","10","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brooks, Blair","Iowa","WR,FLX","Fr","80","FA","NIU Sat 3:30PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brooks, Shannon","Minn","RB,FLX","Sr","81","FA","NMSt Thu 7:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Cameron","OHSt","WR,FLX","Fr","82","FA","OreSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Dre","Ill","RB,FLX","Jr","83","FA","Kent Sat 12:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Jalen","NW","WR,FLX","Sr","84","FA","@Purd Thu 8:00PM","0","0","4","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Jesse","NW","RB,FLX","So","85","FA","@Purd Thu 8:00PM","0","0","4","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown, Journey","PSU","RB,FLX","Fr","86","FA","App Sat 3:30PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
