"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Jones, Shameen","Rut","WR,FLX","Fr","109","FA","TxSt Sat 12:00PM","42","3.5","0%","-","9","12","0","0","0","0","330","3","0","0","0","0","0","0","0"
"Ozigbo, Devine","Neb","RB,FLX","Sr","110","FA","Akr Sat 8:00PM","42","3.5","5%","-","9","12","0","0","0","0","70","0","0","234","5","0","0","0","0"
"Pacheco, Isaih","Rut","RB,FLX","Fr","111","FA","TxSt Sat 12:00PM","42","3.5","0%","-","9","12","0","0","0","0","45","0","0","344","3","0","0","0","0"
"Shaw, Bradrick","Wisc","RB,FLX","Jr","112","FA","W Ky Fri 9:00PM","42","4.67","0%","-","5","9","0","0","0","0","11","0","0","351","3","0","0","0","0"
"James, Jace","NW","WR,FLX","So","113","FA","@Purd Thu 8:00PM","36","3","0%","-","4","12","0","0","0","0","251","2","0","0","0","0","0","0","0"
"Watson, Nakia","Wisc","RB,FLX","Fr","114","WW","W Ky Fri 9:00PM","36","4.5","0%","-","5","8","0","0","0","0","19","0","0","261","2","0","0","0","0"
"Worship, Richie","Purd","RB,FLX","Jr","115","FA","NW Thu 8:00PM","36","3.6","0%","-","6","10","0","0","0","0","55","0","0","307","2","0","0","0","0"
"Douglas, Demetrius","Minn","WR,FLX","So","116","FA","NMSt Thu 7:00PM","30","2.5","0%","-","5","12","0","0","0","0","241","1","0","12","0","0","0","0","0"
"Howard, Phillip","Minn","WR,FLX","So","117","FA","NMSt Thu 7:00PM","30","3.33","0%","-","5","9","0","0","0","0","327","1","0","25","0","0","0","0","0"
"Pryor, Kendric","Wisc","WR,FLX","So","118","FA","W Ky Fri 9:00PM","30","2.5","0%","-","5","12","0","0","0","0","193","2","0","89","1","0","0","0","0"
"Teague, Master","OHSt","RB,FLX","Fr","119","FA","OreSt Sat 12:00PM","30","7.5","0%","-","9","4","0","0","0","0","36","1","0","188","2","0","0","0","0"
"Holmes, C.J.","PSU","RB,FLX","So","120","WW","App Sat 3:30PM","26","8.67","0%","-","6","3","251","3","2","0","0","0","0","0","0","0","0","0","0"
"Allen, Mark","PSU","RB,FLX","Sr","121","FA","App Sat 3:30PM","24","2","100%","-","6","12","0","0","0","0","81","0","0","161","2","0","0","0","0"
"Fessler, Charlie","NW","WR,FLX","Jr","122","FA","@Purd Thu 8:00PM","24","2","0%","-","4","12","0","0","0","0","221","2","0","0","0","0","0","0","0"
"Groshek, Garrett","Wisc","RB,FLX","So","123","FA","W Ky Fri 9:00PM","24","2","0%","-","5","12","0","0","0","0","28","0","0","226","2","0","0","0","0"
"Smith, Brandon","Iowa","WR,FLX","So","124","FA","NIU Sat 3:30PM","24","2","0%","-","5","12","0","0","0","0","160","2","0","0","0","0","0","0","0"
"Sokol, Matt","MSU","TE,FLX","Sr","125","FA","UtSt Fri 7:00PM","24","2","0%","-","3","12","0","0","0","0","238","2","0","0","0","0","0","0","0"
"Williams, Bryce","Minn","RB,FLX","Fr","126","FA","NMSt Thu 7:00PM","24","3.43","0%","-","5","7","0","0","0","0","0","0","0","165","2","0","0","0","0"
"Lewis, Johnathan","Rut","QB,FLX","So","127","FA","TxSt Sat 12:00PM","22","5.5","0%","-","9","4","82","0","1","0","0","0","0","128","2","0","0","0","0"
"Brown, Dre","Ill","RB,FLX","Jr","128","FA","Kent Sat 12:00PM","18","1.5","0%","-","5","12","0","0","0","0","18","0","0","174","1","0","0","0","0"
"Corbin, Reggie","Ill","RB,FLX","Jr","129","FA","Kent Sat 12:00PM","18","1.5","0%","-","5","12","0","0","0","0","149","0","0","97","1","0","0","0","0"
"Hayek, Tyler","Rut","WR,FLX","Fr","130","FA","TxSt Sat 12:00PM","18","1.5","0%","-","9","12","0","0","0","0","204","1","0","0","0","0","0","0","0"
"McQuitty, Jaevon","Neb","WR,FLX","Fr","131","FA","Akr Sat 8:00PM","18","1.5","5%","-","9","12","0","0","0","0","226","1","0","0","0","0","0","0","0"
"Moten IV, John","NW","RB,FLX","Jr","132","FA","@Purd Thu 8:00PM","18","1.5","0%","-","4","12","0","0","0","0","21","0","0","222","1","0","0","0","0"
"Wormley, Everett","Rut","WR,FLX","So","133","FA","TxSt Sat 12:00PM","18","1.5","0%","-","9","12","0","0","0","0","182","1","0","0","0","0","0","0","0"
"Autman-Bell, Chris","Minn","WR,FLX","Fr","134","FA","NMSt Thu 7:00PM","12","1","0%","-","5","12","0","0","0","0","158","0","0","0","0","0","0","0","0"
"Penix Jr., Michael","Ind","QB,FLX","Fr","135","FA","@FLInt Sat 7:00PM","12","3","0%","-","10","4","116","2","0","0","0","0","0","23","0","0","0","0","0"
"Bateman, Rashod","Minn","WR,FLX","Fr","136","FA","NMSt Thu 7:00PM","6","0.75","0%","-","5","8","0","0","0","0","116","1","0","0","0","0","0","0","0"
"Bridges, Weston","MSU","RB,FLX","Fr","137","FA","UtSt Fri 7:00PM","6","1.5","0%","-","3","4","0","0","0","0","8","0","0","89","1","0","0","0","0"
"Lombardi, Rocky","MSU","QB,FLX","Fr","138","FA","UtSt Fri 7:00PM","4","0.33","0%","-","3","12","61","1","1","0","0","0","0","0","0","0","0","0","0"
"Rescigno, Giovanni","Rut","QB,FLX","Sr","139","FA","TxSt Sat 12:00PM","4","0.8","0%","-","9","5","148","1","1","0","0","0","0","0","0","0","0","0","0"
"Abbott, A.J.","Wisc","WR,FLX","Fr","140","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albericci, Austin","Rut","QB,FLX","Fr","141","WW","TxSt Sat 12:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexander, Javez","MSU","WR,FLX","Fr","142","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alioth Jr., Chad","Neb","WR,FLX","Fr","143","FA","Akr Sat 8:00PM","0","0","0%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen, Austin","Neb","TE,FLX","Fr","144","FA","Akr Sat 8:00PM","0","0","5%","-","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson Jr., Amad","Purd","WR,FLX","Fr","145","FA","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson, Drake","NW","RB,FLX","Fr","146","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson, Evan","Purd","RB,FLX","Fr","147","WW","NW Thu 8:00PM","0","0","0%","-","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrews, Austin","MSU","RB,FLX,DB","So","148","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annexstad, Brock","Minn","WR,FLX","Fr","149","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
