"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Toney, Shaka","PSU","DL","So","70","FA","App Sat 3:30PM","94","10.44","6","-","-","9","0","0","0","3.5","30","17","6","38","0","0","0","0"
"Davis, RaVon","MD","DB","Sr","71","FA","Tex Sat 12:00PM","92.5","9.25","5","-","-","10","0","0","0","0.0","0","38","5","13","0","0","0","0"
"Furbush, Noah","Mich","LB","Sr","72","FA","@ND Sat 7:30PM","92.2","8.38","9","-","-","11","0","1","27","1.0","7","29","3","12","0","0","0","1"
"Hughes, Casey","Mich","DB","Sr","73","WW","@ND Sat 7:30PM","92","8.36","9","-","-","11","0","0","0","1.0","11","35","2.5","15","0","0","0","0"
"Stallings IV, Allen","Ind","DL","Jr","74","FA","@FLInt Sat 7:00PM","90","8.18","10","-","-","11","0","0","0","3.5","17","22","5.5","25","0","0","0","0"
"Layne, Justin","MSU","DB","Jr","75","FA","UtSt Fri 7:00PM","88","7.33","3","-","-","12","0","1","0","0.0","0","40","0.5","2","0","0","0","0"
"Hill, Lavert","Mich","DB","Jr","76","FA","@ND Sat 7:30PM","87.9","9.77","9","-","-","9","0","2","24","0.0","0","25","5","15","0","0","0","1"
"Goens, Trent","NW","DL","Jr","77","FA","@Purd Thu 8:00PM","87.5","10.94","4","-","-","8","0","0","0","4.0","28","15","6","31","0","0","0","0"
"Sheffield, Kendall","OHSt","DB","Jr","78","FA","OreSt Sat 12:00PM","87","6.69","9","-","-","13","0","0","0","0.0","0","40","2","6","0","0","0","0"
"Givens, Kevin","PSU","DL","Jr","79","FA","App Sat 3:30PM","86.5","8.65","6","-","-","10","0","0","0","3.5","20","22","4","21","0","0","0","0"
"Thompson, Jordan","NW","DL","Sr","80","FA","@Purd Thu 8:00PM","84","8.4","4","-","-","10","0","0","0","2.5","12","26","4.5","14","0","0","0","0"
"Epenesa, A.J.","Iowa","DL","So","81","FA","NIU Sat 3:30PM","83.5","7.59","5","-","-","11","0","0","0","4.5","24","15","5.5","25","0","0","0","0"
"Brown Jr., Andre","Ind","DB","Jr","82","FA","@FLInt Sat 7:00PM","83.2","8.32","10","-","-","10","22","0","0","0.0","0","33","3","6","0","0","0","1"
